Date;Open;High;Low;Close;Adj Close;Volume
3.01.2017;41.650.002;44.150.002;41.650.002;43.320.000;43.320.000;1195900
4.01.2017;43.400.002;45.290.001;43.330.002;45.060.001;45.060.001;1688200
5.01.2017;44.509.998;45.299.999;44.200.001;44.810.001;44.810.001;1096800
6.01.2017;44.990.002;45.290.001;44.790.001;44.980.000;44.980.000;694100
9.01.2017;45.020.000;45.459.999;44.669.998;45.240.002;45.240.002;775100
10.01.2017;45.369.999;45.509.998;44.500.000;45.189.999;45.189.999;776900
11.01.2017;45.169.998;45.650.002;44.630.001;45.200.001;45.200.001;748900
12.01.2017;45.200.001;45.200.001;43.830.002;44.770.000;44.770.000;772000
13.01.2017;45.000.000;45.290.001;44.740.002;45.060.001;45.060.001;456900
17.01.2017;45.000.000;45.000.000;44.020.000;44.250.000;44.250.000;567600
18.01.2017;44.310.001;44.580.002;44.070.000;44.500.000;44.500.000;634100
19.01.2017;44.689.999;44.990.002;44.160.000;44.830.002;44.830.002;765500
20.01.2017;44.950.001;45.009.998;44.450.001;44.900.002;44.900.002;596500
23.01.2017;44.410.000;44.889.999;44.130.001;44.709.999;44.709.999;540400
24.01.2017;46.389.999;46.669.998;45.270.000;46.450.001;46.450.001;1102400
25.01.2017;47.349.998;48.349.998;47.090.000;47.840.000;47.840.000;1440600
26.01.2017;48.340.000;48.799.999;47.820.000;48.209.999;48.209.999;2075100
27.01.2017;48.389.999;48.580.002;47.770.000;48.139.999;48.139.999;776400
30.01.2017;47.750.000;47.750.000;46.759.998;47.730.000;47.730.000;691400
31.01.2017;47.209.999;47.860.001;47.009.998;47.840.000;47.840.000;640600
1.02.2017;48.099.998;48.590.000;47.540.001;48.459.999;48.459.999;1778500
2.02.2017;48.080.002;49.389.999;47.820.000;48.209.999;48.209.999;2846600
3.02.2017;55.430.000;57.299.999;54.689.999;55.279.999;55.279.999;7180300
6.02.2017;55.000.000;56.070.000;54.009.998;54.119.999;54.119.999;3334000
7.02.2017;54.000.000;54.459.999;52.680.000;53.580.002;53.580.002;2950400
8.02.2017;53.680.000;54.810.001;53.680.000;53.939.999;53.939.999;1147900
9.02.2017;53.939.999;54.490.002;53.599.998;54.000.000;54.000.000;900900
10.02.2017;54.040.001;54.209.999;53.660.000;53.759.998;53.759.998;1045800
13.02.2017;54.029.999;54.360.001;53.500.000;53.810.001;53.810.001;1125200
14.02.2017;53.740.002;54.080.002;53.299.999;54.080.002;54.080.002;1021600
15.02.2017;53.950.001;55.200.001;53.860.001;55.009.998;55.009.998;2136500
16.02.2017;55.200.001;55.660.000;53.779.999;54.060.001;54.060.001;1773800
17.02.2017;53.599.998;54.680.000;53.299.999;54.619.999;54.619.999;758300
21.02.2017;54.320.000;55.160.000;54.150.002;55.119.999;55.119.999;1074400
22.02.2017;54.779.999;55.090.000;53.950.001;54.029.999;54.029.999;630500
23.02.2017;54.130.001;54.160.000;53.240.002;53.369.999;53.369.999;1053100
24.02.2017;52.779.999;53.330.002;52.270.000;53.259.998;53.259.998;1003500
27.02.2017;52.980.000;53.660.000;52.580.002;53.580.002;53.580.002;1033300
28.02.2017;52.740.002;53.330.002;52.220.001;52.740.002;52.740.002;738800
1.03.2017;53.250.000;53.419.998;52.070.000;53.279.999;53.279.999;997800
2.03.2017;53.049.999;53.380.001;51.980.000;51.990.002;51.990.002;879400
3.03.2017;51.849.998;52.209.999;51.580.002;52.139.999;52.139.999;718300
6.03.2017;51.439.999;51.759.998;50.730.000;51.020.000;51.020.000;1708500
7.03.2017;50.880.001;51.380.001;49.450.001;50.160.000;50.160.000;2296500
8.03.2017;50.410.000;50.840.000;49.750.000;49.840.000;49.840.000;864400
9.03.2017;49.630.001;50.110.001;49.169.998;49.450.001;49.450.001;1081100
10.03.2017;49.910.000;50.080.002;48.240.002;48.830.002;48.830.002;1103500
13.03.2017;48.830.002;49.070.000;48.430.000;48.939.999;48.939.999;1012100
14.03.2017;48.709.999;49.169.998;48.169.998;49.090.000;49.090.000;696700
15.03.2017;49.130.001;49.630.001;48.720.001;49.419.998;49.419.998;1704900
16.03.2017;49.689.999;49.869.999;49.410.000;49.459.999;49.459.999;442300
17.03.2017;49.820.000;49.849.998;48.970.001;49.099.998;49.099.998;811100
20.03.2017;49.189.999;49.270.000;48.860.001;49.020.000;49.020.000;615100
21.03.2017;49.160.000;49.160.000;47.490.002;47.599.998;47.599.998;1013600
22.03.2017;47.599.998;48.189.999;47.299.999;48.110.001;48.110.001;757900
23.03.2017;48.060.001;48.110.001;47.500.000;47.820.000;47.820.000;775600
24.03.2017;47.990.002;48.689.999;47.570.000;48.410.000;48.410.000;736500
27.03.2017;47.830.002;48.439.999;47.560.001;48.189.999;48.189.999;1033900
28.03.2017;48.110.001;48.520.000;48.009.998;48.250.000;48.250.000;1446600
29.03.2017;48.209.999;48.889.999;48.049.999;48.830.002;48.830.002;551500
30.03.2017;48.700.001;49.270.000;48.660.000;48.959.999;48.959.999;1300000
31.03.2017;49.380.001;50.520.000;49.200.001;49.549.999;49.549.999;1253200
3.04.2017;49.639.999;50.279.999;49.410.000;49.709.999;49.709.999;1220200
4.04.2017;49.549.999;50.480.000;49.549.999;49.990.002;49.990.002;861200
5.04.2017;50.220.001;50.770.000;49.799.999;49.860.001;49.860.001;815800
6.04.2017;49.779.999;50.860.001;49.240.002;50.830.002;50.830.002;1229100
7.04.2017;50.799.999;51.000.000;50.369.999;50.660.000;50.660.000;558600
10.04.2017;50.630.001;50.970.001;50.400.002;50.480.000;50.480.000;435000
11.04.2017;50.310.001;51.000.000;50.290.001;50.990.002;50.990.002;654000
12.04.2017;50.860.001;51.340.000;50.619.999;50.860.001;50.860.001;709000
13.04.2017;50.840.000;51.230.000;50.470.001;50.599.998;50.599.998;514300
